record_id,province,district,ds_division,safe_zone_id,safe_zone_name,camp_id,camp_name,latitude,longitude,population,children_count,elderly_count,food_available,water_available,medicine_available,sanitary_available,distance_from_distribution_center,camp_capacity,road_access_status,nearest_distribution_center,camp_priority,food_priority,water_priority,medicine_priority,sanitary_priority,human_error_flag,human_error_type,infants_count,pregnant_women_count,disabled_people_count,chronic_patients_count,last_distribution_hours,vehicle_capacity_total,camp_occupancy_ratio,vulnerable_ratio
PF-RD-00013,Central,Nuwara Eliya,Walapane,SZ-0048,Walapane Maha Vidyalaya Safe Zone,CAMP-00013,Walapane Relief Camp 013,6.939653,80.714911,213,29,24,73.0,3390.0,34.0,80.0,19.7,257.0,Good,Nuwara Eliya GN Division Collection Hub,Low,High,Low,Low,Low,No,,13,8,11,15,42,586,0.8288,0.4695
PF-RD-00014,Western,Kalutara,Beruwala,SZ-0011,Beruwala Maha Vidyalaya Safe Zone,CAMP-00014,Beruwala Relief Camp 014,6.674014,79.91953,563,87,54,243.0,11331.0,54.0,115.0,2.4,1082.0,Good,Kalutara DMC Coordination Centre,Medium,High,Low,Medium,Medium,No,,34,20,29,36,27,686,0.5203,0.4618
PF-RD-00015,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00015,Wellawaya Relief Camp 015,6.838746,81.274353,104,27,18,91.0,1610.0,21.0,34.0,5.7,208.0,Good,Moneragala Pradeshiya Sabha Stores,Low,Low,Low,High,Medium,No,,7,4,6,10,29,667,0.5,0.6923
PF-RD-00016,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00016,Kurunegala Relief Camp 016,7.498822,80.283526,222,25,43,100.0,3798.0,48.0,25.0,3.0,297.0,Good,Kurunegala Army Relief Point,Medium,Medium,Low,Medium,High,No,,14,8,12,22,28,683,0.7475,0.5586
PF-RD-00017,Central,Kandy,Teldeniya,SZ-0043,Teldeniya Maha Vidyalaya Safe Zone,CAMP-00017,Teldeniya Relief Camp 017,7.258718,80.633445,426,79,60,310.0,3791.0,78.0,116.0,7.0,602.0,Limited,Kandy Pradeshiya Sabha Stores,Medium,Medium,Medium,Medium,Medium,No,,26,15,22,34,51,330,0.7076,0.554
PF-RD-00018,North Central,Anuradhapura,Medawachchiya,SZ-0049,Medawachchiya Central College Safe Zone,CAMP-00018,Medawachchiya Relief Camp 018,8.390073,80.377209,556,193,48,303.0,4693.0,112.0,207.0,20.0,1105.0,Limited,Anuradhapura Pradeshiya Sabha Stores,Medium,Medium,Medium,High,Medium,No,,34,20,28,34,61,292,0.5032,0.6421
PF-RD-00019,Sabaragamuwa,Ratnapura,Balangoda,SZ-0063,Balangoda Primary School Safe Zone,CAMP-00019,Balangoda Relief Camp 019,6.733386,80.431688,738,144,72,263.0,3661.0,164.0,289.0,8.0,1062.0,Good,Ratnapura District Secretariat Stores,Medium,High,High,Low,High,No,,45,26,37,48,38,654,0.6949,0.5041
PF-RD-00020,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00020,Kaduwela Relief Camp 020,6.882359,79.853952,558,134,109,562.0,2897.0,37.0,186.0,1.0,1173.0,Limited,Colombo Army Relief Point,Medium,Low,High,High,Medium,No,,34,20,28,55,47,348,0.4757,0.681
PF-RD-00021,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00021,Kolonnawa Relief Camp 021,6.858812,79.799581,407,44,61,230.0,1707.0,30.0,44.0,17.9,832.0,Blocked,Colombo District Relief Warehouse,High,Medium,High,High,High,No,,25,15,21,34,86,128,0.4892,0.4914
PF-RD-00022,Eastern,Batticaloa,Kattankudy,SZ-0035,Kattankudy Community Hall Safe Zone,CAMP-00022,Kattankudy Relief Camp 022,7.686663,81.753991,245,57,15,76.0,3566.0,55.0,24.0,10.4,450.0,Good,Batticaloa Pradeshiya Sabha Stores,Medium,High,Low,Low,High,No,,15,9,13,13,35,640,0.5444,0.498
PF-RD-00023,Central,Kandy,Peradeniya,SZ-0042,Peradeniya Training Centre Safe Zone,CAMP-00023,Peradeniya Relief Camp 023,7.276251,80.593997,341,71,10,92.0,3871.0,54.0,149.0,13.0,683.0,Good,Kandy District Secretariat Stores,Low,High,Medium,Low,Low,No,,21,12,18,14,39,625,0.4993,0.4282
PF-RD-00024,Northern,Kilinochchi,Poonakary,SZ-0024,Poonakary Divisional Secretariat Hall Safe Zone,CAMP-00024,Poonakary Relief Camp 024,9.328507,80.382297,297,72,34,298.0,629.0,34.0,52.0,27.4,231.0,Limited,Kilinochchi Army Relief Point,Medium,Low,High,Medium,Medium,No,,18,11,15,21,66,271,1.0,0.5758
PF-RD-00025,Northern,Jaffna,Karainagar,SZ-0022,Karainagar Primary School Safe Zone,CAMP-00025,Karainagar Relief Camp 025,9.69155,80.038454,323,83,52,362.0,1199.0,34.0,36.0,18.6,668.0,Good,Jaffna District Relief Warehouse,Medium,Low,High,Medium,High,No,,20,12,17,28,41,592,0.4835,0.6563
PF-RD-00026,Central,Kandy,Akurana,SZ-0044,Akurana Central College Safe Zone,CAMP-00026,Akurana Relief Camp 026,7.223829,80.689338,368,123,17,126.0,836.0,47.0,25.0,14.9,680.0,Limited,Kandy GN Division Collection Hub,High,High,High,Medium,High,No,,23,13,19,17,61,307,0.5412,0.5761
PF-RD-00027,Eastern,Ampara,Akkaraipattu,SZ-0038,Akkaraipattu Primary School Safe Zone,CAMP-00027,Akkaraipattu Relief Camp 027,7.403621,81.69938,158,20,18,36.0,2061.0,25.0,36.0,22.9,306.0,Limited,Ampara GN Division Collection Hub,Medium,High,Low,Low,Medium,No,,10,6,8,12,63,284,0.5163,0.4684
PF-RD-00028,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00028,Kaduwela Relief Camp 028,6.881455,79.866063,999,253,134,886.0,11119.0,205.0,301.0,11.1,1266.0,Limited,Colombo Army Relief Point,Medium,Low,Medium,Medium,High,No,,60,35,50,77,52,318,0.7891,0.6096
PF-RD-00029,Eastern,Batticaloa,Kattankudy,SZ-0035,Kattankudy Community Hall Safe Zone,CAMP-00029,Kattankudy Relief Camp 029,7.686873,81.751232,1144,65,172,606.0,9191.0,64.0,156.0,8.4,1066.0,Good,Batticaloa Pradeshiya Sabha Stores,Medium,Medium,Medium,High,High,No,,65,41,58,95,36,651,1.0,0.4336
PF-RD-00030,Eastern,Trincomalee,Kinniya,SZ-0039,Kinniya Divisional Secretariat Hall Safe Zone,CAMP-00030,Kinniya Relief Camp 030,8.625325,81.277152,618,177,52,398.0,4993.0,146.0,316.0,13.9,1070.0,Good,Trincomalee GN Division Collection Hub,Medium,Medium,Medium,Medium,Medium,No,,38,22,31,37,39,619,0.5776,0.5777
PF-RD-00031,Southern,Matara,Deniyaya,SZ-0018,Deniyaya Cooperative Hall Safe Zone,CAMP-00031,Deniyaya Relief Camp 031,5.903267,80.572746,156,37,22,92.0,891.0,14.0,27.0,13.9,278.0,Good,Matara Army Relief Point,Medium,Medium,High,Medium,Medium,No,,10,6,8,13,40,619,0.5612,0.6154
PF-RD-00032,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00032,Kurunegala Relief Camp 032,7.499151,80.314952,336,98,57,268.0,3567.0,35.0,39.0,1.6,560.0,Limited,Kurunegala Army Relief Point,Medium,Medium,Medium,High,High,No,,21,12,17,31,46,346,0.6,0.7024
PF-RD-00033,North Western,Puttalam,Anamaduwa,SZ-0059,Anamaduwa Cooperative Hall Safe Zone,CAMP-00033,Anamaduwa Relief Camp 033,7.978623,79.864989,68,15,8,60.0,1018.0,6.0,36.0,2.5,88.0,Good,Puttalam GN Division Collection Hub,Low,Low,Low,Medium,Low,No,,5,3,4,5,27,686,0.7727,0.5882
PF-RD-00034,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00034,Akkaraipattu Relief Camp 034,7.312142,81.655348,953,183,219,476.0,4052.0,152.0,302.0,6.2,1736.0,Good,Ampara District Secretariat Stores,Medium,Medium,High,Medium,High,No,,58,34,48,106,35,664,0.549,0.68
PF-RD-00035,Western,Kalutara,Beruwala,SZ-0011,Beruwala Maha Vidyalaya Safe Zone,CAMP-00035,Beruwala Relief Camp 035,6.647572,79.924273,233,66,14,175.0,2377.0,23.0,54.0,9.5,207.0,Good,Kalutara DMC Coordination Centre,Medium,Medium,Medium,Medium,Medium,No,,14,9,12,12,34,645,1.0,0.5451
PF-RD-00036,Central,Kandy,Teldeniya,SZ-0043,Teldeniya Maha Vidyalaya Safe Zone,CAMP-00036,Teldeniya Relief Camp 036,7.283905,80.63158,636,161,85,737.0,8632.0,134.0,164.0,12.5,923.0,Good,Kandy Pradeshiya Sabha Stores,Low,Low,Low,Medium,Medium,No,,39,23,32,49,33,628,0.6891,0.6116
PF-RD-00037,Northern,Kilinochchi,Pachchilaipalli,SZ-0025,Pachchilaipalli Cooperative Hall Safe Zone,CAMP-00037,Pachchilaipalli Relief Camp 037,9.383449,80.366556,1182,273,136,383.0,22144.0,96.0,552.0,9.7,2066.0,Good,Kilinochchi District Secretariat Stores,Medium,High,Low,High,High,No,,71,42,60,84,34,644,0.5721,0.5635
PF-RD-00038,Eastern,Batticaloa,Batticaloa,SZ-0033,Batticaloa Maha Vidyalaya Safe Zone,CAMP-00038,Batticaloa Relief Camp 038,7.705355,81.664249,342,80,54,158.0,3460.0,56.0,162.0,15.1,378.0,Good,Batticaloa DMC Coordination Centre,Medium,Medium,Medium,Medium,Low,No,,21,12,18,30,40,612,0.9048,0.6287
PF-RD-00039,Northern,Mannar,Musali,SZ-0026,Musali Primary School Safe Zone,CAMP-00039,Musali Relief Camp 039,9.02098,79.838275,226,37,22,163.0,2537.0,52.0,90.0,10.7,461.0,Good,Mannar District Relief Warehouse,Low,Medium,Medium,Low,Low,No,,14,8,12,15,34,638,0.4902,0.4779
PF-RD-00040,Eastern,Ampara,Pottuvil,SZ-0036,Pottuvil Sports Complex Safe Zone,CAMP-00040,Pottuvil Relief Camp 040,7.299746,81.685807,189,43,22,66.0,3170.0,28.0,86.0,7.7,341.0,Good,Ampara DMC Coordination Centre,Low,High,Low,Medium,Low,No,,12,7,10,14,32,656,0.5543,0.5714
PF-RD-00041,Uva,Badulla,Badulla,SZ-0067,Badulla Training Centre Safe Zone,CAMP-00041,Badulla Relief Camp 041,6.995397,81.06192,70,22,12,91.0,536.0,9.0,19.0,18.7,142.0,Good,Badulla GN Division Collection Hub,Medium,Low,Medium,High,Medium,No,,5,3,4,7,38,591,0.493,0.7571
PF-RD-00042,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00042,Elpitiya Relief Camp 042,6.065961,80.149223,700,148,51,424.0,10169.0,52.0,163.0,13.6,1309.0,Limited,Galle Pradeshiya Sabha Stores,Medium,Medium,Low,High,High,No,,42,25,35,39,55,311,0.5348,0.4857
PF-RD-00043,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00043,Akkaraipattu Relief Camp 043,7.31852,81.639885,225,37,13,67.0,778.0,43.0,42.0,4.6,344.0,Good,Ampara District Secretariat Stores,Medium,High,High,Low,Medium,No,,14,8,12,12,36,674,0.6541,0.4267
PF-RD-00044,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00044,Kantale Relief Camp 044,8.649508,81.185258,694,218,97,482.0,7234.0,76.0,262.0,20.3,930.0,Good,Trincomalee DMC Coordination Centre,Medium,Medium,Medium,High,Medium,No,,42,25,35,55,42,582,0.7462,0.6801
PF-RD-00045,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00045,Elpitiya Relief Camp 045,6.073515,80.148269,463,124,68,319.0,6492.0,51.0,110.0,13.3,664.0,Limited,Galle Pradeshiya Sabha Stores,Medium,Medium,Low,Medium,Medium,No,,28,17,24,38,53,312,0.6973,0.6458
PF-RD-00046,North Western,Kurunegala,Kurunegala,SZ-0055,Kurunegala Cooperative Hall Safe Zone,CAMP-00046,Kurunegala Relief Camp 046,7.483629,80.37137,257,61,19,150.0,1782.0,17.0,18.0,6.0,404.0,Good,Kurunegala DMC Coordination Centre,Medium,Medium,Medium,High,High,No,,16,9,13,15,34,665,0.6361,0.5175
PF-RD-00047,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00047,Akkaraipattu Relief Camp 047,7.321453,81.648292,1199,349,246,606.0,14509.0,91.0,394.0,17.7,2031.0,Limited,Ampara District Secretariat Stores,Medium,Medium,Medium,High,High,No,,72,42,60,123,58,299,0.5903,0.744
PF-RD-00048,Western,Kalutara,Beruwala,SZ-0012,Beruwala Maha Vidyalaya Safe Zone,CAMP-00048,Beruwala Relief Camp 048,6.647864,80.036204,562,93,17,409.0,8369.0,78.0,187.0,14.2,597.0,Good,Kalutara GN Division Collection Hub,Low,Medium,Low,Low,Medium,No,,34,20,29,23,36,618,0.9414,0.3843
PF-RD-00049,Eastern,Batticaloa,Batticaloa,SZ-0032,Batticaloa Training Centre Safe Zone,CAMP-00049,Batticaloa Relief Camp 049,7.663744,81.728255,117,36,16,45.0,1290.0,29.0,14.0,6.1,253.0,Good,Batticaloa District Relief Warehouse,Medium,High,Medium,High,High,No,,8,5,6,10,33,665,0.4625,0.6923
PF-RD-00050,Southern,Matara,Deniyaya,SZ-0018,Deniyaya Cooperative Hall Safe Zone,CAMP-00050,Deniyaya Relief Camp 050,5.882277,80.567203,99,24,5,72.0,816.0,5.0,21.0,12.6,176.0,Limited,Matara Army Relief Point,Medium,Medium,Medium,High,Medium,No,,6,4,5,5,55,314,0.5625,0.4949
PF-RD-00051,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00051,Kantale Relief Camp 051,8.636927,81.178368,244,58,29,246.0,844.0,36.0,70.0,16.7,217.0,Limited,Trincomalee DMC Coordination Centre,Medium,Low,High,Medium,Medium,No,,15,9,13,18,59,302,1.0,0.582
PF-RD-00052,Northern,Jaffna,Karainagar,SZ-0022,Karainagar Primary School Safe Zone,CAMP-00052,Karainagar Relief Camp 052,9.701605,80.006824,259,88,8,61.0,1341.0,66.0,44.0,12.2,458.0,Good,Jaffna District Relief Warehouse,High,High,High,Medium,High,No,,16,10,13,11,42,629,0.5655,0.5637
PF-RD-00053,Southern,Matara,Deniyaya,SZ-0018,Deniyaya Cooperative Hall Safe Zone,CAMP-00053,Deniyaya Relief Camp 053,5.872715,80.569951,338,66,29,399.0,2571.0,61.0,95.0,3.2,443.0,Good,Matara Army Relief Point,Low,Low,Medium,Low,Medium,No,,21,12,17,21,28,682,0.763,0.4911
PF-RD-00054,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00054,Wellawaya Relief Camp 054,6.865165,81.292162,272,33,58,211.0,3391.0,53.0,79.0,7.0,399.0,Limited,Moneragala Pradeshiya Sabha Stores,Medium,Medium,Medium,Medium,Medium,No,,17,10,14,29,49,330,0.6817,0.5919
PF-RD-00055,Western,Kalutara,Beruwala,SZ-0011,Beruwala Maha Vidyalaya Safe Zone,CAMP-00055,Beruwala Relief Camp 055,6.669889,79.902824,91,25,9,107.0,1480.0,13.0,18.0,4.1,84.0,Good,Kalutara DMC Coordination Centre,Low,Low,Low,Medium,Medium,No,,6,4,5,6,25,677,1.0,0.6044
PF-RD-00056,Western,Gampaha,Wattala,SZ-0007,Wattala Central College Safe Zone,CAMP-00056,Wattala Relief Camp 056,7.105122,79.942476,177,42,33,137.0,1701.0,10.0,23.0,9.7,308.0,Good,Gampaha GN Division Collection Hub,Medium,Medium,Medium,High,High,No,,11,7,9,17,35,644,0.5747,0.6723
PF-RD-00057,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00057,Kurunegala Relief Camp 057,7.489913,80.316219,718,104,45,221.0,8750.0,157.0,70.0,11.2,1335.0,Good,Kurunegala Army Relief Point,Medium,High,Medium,Low,High,No,,44,26,36,38,37,635,0.5378,0.4081
PF-RD-00058,Sabaragamuwa,Ratnapura,Ratnapura,SZ-0061,Ratnapura Sports Complex Safe Zone,CAMP-00058,Ratnapura Relief Camp 058,6.622146,80.357393,608,83,80,613.0,6144.0,77.0,242.0,5.4,1046.0,Good,Ratnapura Army Relief Point,Low,Low,Medium,Medium,Medium,No,,37,22,31,47,30,669,0.5813,0.4934
PF-RD-00059,Northern,Jaffna,Chavakachcheri,SZ-0021,Chavakachcheri Sports Complex Safe Zone,CAMP-00059,Chavakachcheri Relief Camp 059,9.578141,79.981082,580,73,109,609.0,5708.0,18.0,254.0,11.6,1228.0,Good,Jaffna DMC Coordination Centre,Medium,Low,Medium,High,Medium,No,,35,21,29,56,34,633,0.4723,0.5569
PF-RD-00060,Sabaragamuwa,Ratnapura,Ratnapura,SZ-0062,Ratnapura Sports Complex Safe Zone,CAMP-00060,Ratnapura Relief Camp 060,6.703151,80.365672,572,135,85,540.0,7334.0,110.0,105.0,2.7,492.0,Good,Ratnapura Army Relief Point,Low,Low,Low,Medium,Medium,No,,35,21,29,47,27,685,1.0,0.6154
PF-RD-00061,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00061,Kurunegala Relief Camp 061,7.496029,80.294645,101,19,17,20.0,908.0,4.0,28.0,1.5,187.0,Good,Kurunegala Army Relief Point,Medium,High,Medium,High,Medium,No,,7,4,6,9,32,692,0.5401,0.6139
PF-RD-00062,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00062,Elpitiya Relief Camp 062,6.093078,80.130617,44,12,6,10.0,61.0,4.0,4.0,22.0,58.0,Blocked,Galle Pradeshiya Sabha Stores,High,High,High,Medium,High,No,,3,2,3,4,91,123,0.7586,0.6818
PF-RD-00063,Eastern,Batticaloa,Batticaloa,SZ-0032,Batticaloa Training Centre Safe Zone,CAMP-00063,Batticaloa Relief Camp 063,7.660995,81.73017,157,41,24,53.0,382.0,24.0,60.0,9.6,262.0,Limited,Batticaloa District Relief Warehouse,Medium,High,High,Medium,Low,No,,10,6,8,14,58,322,0.5992,0.6561
PF-RD-00064,Western,Gampaha,Wattala,SZ-0006,Wattala Divisional Secretariat Hall Safe Zone,CAMP-00064,Wattala Relief Camp 064,7.054936,80.016258,303,59,11,306.0,1685.0,37.0,32.0,5.4,408.0,Good,Gampaha DMC Coordination Centre,Medium,Low,High,Medium,High,No,,19,11,16,13,32,669,0.7426,0.4257
PF-RD-00065,Western,Kalutara,Horana,SZ-0010,Horana Sports Complex Safe Zone,CAMP-00065,Horana Relief Camp 065,6.502404,80.016643,600,40,19,388.0,4697.0,30.0,105.0,20.4,852.0,Blocked,Kalutara GN Division Collection Hub,Medium,Medium,Medium,High,Medium,No,,36,22,30,25,85,125,0.7042,0.2867
PF-RD-00066,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00066,Wellawaya Relief Camp 066,6.862593,81.270922,251,35,32,163.0,1310.0,23.0,49.0,1.0,441.0,Good,Moneragala Pradeshiya Sabha Stores,Medium,Medium,High,Medium,Medium,No,,16,9,13,19,31,695,0.5692,0.494
PF-RD-00067,Eastern,Batticaloa,Batticaloa,SZ-0033,Batticaloa Maha Vidyalaya Safe Zone,CAMP-00067,Batticaloa Relief Camp 067,7.709332,81.682729,815,152,63,492.0,7990.0,159.0,168.0,18.6,1613.0,Good,Batticaloa DMC Coordination Centre,Medium,Medium,Medium,Low,High,No,,49,29,41,47,41,592,0.5053,0.4675
PF-RD-00068,North Central,Polonnaruwa,Lankapura,SZ-0053,Lankapura Community Hall Safe Zone,CAMP-00068,Lankapura Relief Camp 068,7.917252,80.934861,206,44,6,107.0,2173.0,26.0,33.0,11.0,430.0,Limited,Polonnaruwa District Relief Warehouse,Medium,Medium,Medium,Medium,High,No,,13,8,11,9,55,318,0.4791,0.4417
PF-RD-00069,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00069,Kolonnawa Relief Camp 069,6.854712,79.796271,492,183,15,621.0,5449.0,50.0,122.0,13.1,480.0,Good,Colombo District Relief Warehouse,Medium,Low,Medium,Medium,Medium,No,,30,18,25,21,33,624,1.0,0.5935
PF-RD-00070,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00070,Kantale Relief Camp 070,8.633349,81.196436,1064,91,172,497.0,2301.0,149.0,92.0,2.5,2073.0,Limited,Trincomalee DMC Coordination Centre,Medium,Medium,High,Low,High,No,,64,38,54,93,52,343,0.5133,0.4812
PF-RD-00071,Central,Nuwara Eliya,Walapane,SZ-0048,Walapane Maha Vidyalaya Safe Zone,CAMP-00071,Walapane Relief Camp 071,6.948305,80.717254,495,88,84,282.0,8007.0,98.0,174.0,40.0,803.0,Limited,Nuwara Eliya GN Division Collection Hub,Medium,Medium,Low,Medium,Medium,No,,30,18,25,45,72,234,0.6164,0.5859
PF-RD-00072,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00072,Kantale Relief Camp 072,8.635302,81.197628,46,9,5,33.0,359.0,5.0,5.0,2.0,88.0,Good,Trincomalee DMC Coordination Centre,Medium,Medium,Medium,Medium,High,No,,3,2,3,4,30,689,0.5227,0.5652
PF-RD-00073,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00073,Wellawaya Relief Camp 073,6.835833,81.269176,335,73,59,178.0,767.0,63.0,56.0,6.6,315.0,Good,Moneragala Pradeshiya Sabha Stores,Medium,Medium,High,Medium,High,No,,21,12,17,31,37,662,1.0,0.6358
PF-RD-00074,Sabaragamuwa,Kegalle,Ruwanwella,SZ-0064,Ruwanwella Public Ground Safe Zone,CAMP-00074,Ruwanwella Relief Camp 074,7.218667,80.369396,196,65,34,71.0,471.0,46.0,52.0,3.9,406.0,Limited,Kegalle DMC Coordination Centre,High,High,High,High,Medium,No,,12,7,10,18,54,339,0.4828,0.7449
PF-RD-00075,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00075,Kaduwela Relief Camp 075,6.874196,79.868652,475,143,78,377.0,7865.0,129.0,78.0,23.4,861.0,Good,Colombo Army Relief Point,Medium,Medium,Low,High,High,No,,29,17,24,42,41,564,0.5517,0.7011
PF-RD-00076,Western,Kalutara,Beruwala,SZ-0011,Beruwala Maha Vidyalaya Safe Zone,CAMP-00076,Beruwala Relief Camp 076,6.655307,79.931209,727,97,29,594.0,6944.0,90.0,255.0,13.6,763.0,Limited,Kalutara DMC Coordination Centre,Medium,Medium,Medium,Medium,High,No,,44,26,37,32,55,311,0.9528,0.3645
