record_id,province,district,ds_division,safe_zone_id,safe_zone_name,camp_id,camp_name,latitude,longitude,population,children_count,elderly_count,food_available,water_available,medicine_available,sanitary_available,distance_from_distribution_center,camp_capacity,road_access_status,nearest_distribution_center,camp_priority,food_priority,water_priority,medicine_priority,sanitary_priority,human_error_flag,human_error_type
PF-RD-00011,Southern,Hambantota,Tangalle,SZ-0020,Tangalle Public Ground Safe Zone,CAMP-00011,Tangalle Relief Camp 011,6.226754,81.147806,554,100,36,304,3025,56,126,23.5,1004,Limited,Hambantota GN Division Collection Hub,Medium,Medium,High,Medium,Medium,No,None
PF-RD-00012,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00012,Kolonnawa Relief Camp 012,6.856155,79.783999,216,71,22,140,2239,11,44,3.7,435,Good,Colombo District Relief Warehouse,Medium,Medium,Medium,High,Medium,No,None
PF-RD-00013,Central,Nuwara Eliya,Walapane,SZ-0048,Walapane Maha Vidyalaya Safe Zone,CAMP-00013,Walapane Relief Camp 013,6.939653,80.714911,213,29,24,73,3390,34,80,19.7,257,Good,Nuwara Eliya GN Division Collection Hub,Low,High,Low,Low,Low,No,None
PF-RD-00014,Western,Kalutara,Beruwala,SZ-0011,Beruwala Maha Vidyalaya Safe Zone,CAMP-00014,Beruwala Relief Camp 014,6.674014,79.91953,563,87,54,243,11331,54,115,2.4,1082,Good,Kalutara DMC Coordination Centre,Medium,High,Low,Medium,Medium,No,None
PF-RD-00015,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00015,Wellawaya Relief Camp 015,6.838746,81.274353,104,27,18,91,1610,21,34,5.7,208,Good,Moneragala Pradeshiya Sabha Stores,Low,Low,Low,High,Medium,No,None
PF-RD-00016,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00016,Kurunegala Relief Camp 016,7.498822,80.283526,222,25,43,100,3798,48,25,3.0,297,Good,Kurunegala Army Relief Point,Medium,Medium,Low,Medium,High,No,None
PF-RD-00017,Central,Kandy,Teldeniya,SZ-0043,Teldeniya Maha Vidyalaya Safe Zone,CAMP-00017,Teldeniya Relief Camp 017,7.258718,80.633445,426,79,60,310,3791,78,116,7.0,602,Limited,Kandy Pradeshiya Sabha Stores,Medium,Medium,Medium,Medium,Medium,No,None
PF-RD-00018,North Central,Anuradhapura,Medawachchiya,SZ-0049,Medawachchiya Central College Safe Zone,CAMP-00018,Medawachchiya Relief Camp 018,8.390073,80.377209,556,193,48,303,4693,112,207,20.0,1105,Limited,Anuradhapura Pradeshiya Sabha Stores,Medium,Medium,Medium,High,Medium,No,None
PF-RD-00019,Sabaragamuwa,Ratnapura,Balangoda,SZ-0063,Balangoda Primary School Safe Zone,CAMP-00019,Balangoda Relief Camp 019,6.733386,80.431688,738,144,72,263,3661,164,289,8.0,1062,Good,Ratnapura District Secretariat Stores,Medium,High,High,Low,High,No,None
PF-RD-00020,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00020,Kaduwela Relief Camp 020,6.882359,79.853952,558,134,109,562,2897,37,186,1.0,1173,Limited,Colombo Army Relief Point,Medium,Low,High,High,Medium,No,None
PF-RD-00021,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00021,Kolonnawa Relief Camp 021,6.858812,79.799581,407,44,61,230,1707,30,44,17.9,832,Blocked,Colombo District Relief Warehouse,High,Medium,High,High,High,No,None
PF-RD-00022,Eastern,Batticaloa,Kattankudy,SZ-0035,Kattankudy Community Hall Safe Zone,CAMP-00022,Kattankudy Relief Camp 022,7.686663,81.753991,245,57,15,76,3566,55,24,10.4,450,Good,Batticaloa Pradeshiya Sabha Stores,Medium,High,Low,Low,High,No,None
PF-RD-00023,Central,Kandy,Peradeniya,SZ-0042,Peradeniya Training Centre Safe Zone,CAMP-00023,Peradeniya Relief Camp 023,7.276251,80.593997,341,71,10,92,3871,54,149,13.0,683,Good,Kandy District Secretariat Stores,Low,High,Medium,Low,Low,No,None
PF-RD-00024,Northern,Kilinochchi,Poonakary,SZ-0024,Poonakary Divisional Secretariat Hall Safe Zone,CAMP-00024,Poonakary Relief Camp 024,9.328507,80.382297,297,72,34,298,629,34,52,27.4,231,Limited,Kilinochchi Army Relief Point,Medium,Low,High,Medium,Medium,No,None
PF-RD-00025,Northern,Jaffna,Karainagar,SZ-0022,Karainagar Primary School Safe Zone,CAMP-00025,Karainagar Relief Camp 025,9.69155,80.038454,323,83,52,362,1199,34,36,18.6,668,Good,Jaffna District Relief Warehouse,Medium,Low,High,Medium,High,No,None
PF-RD-00026,Central,Kandy,Akurana,SZ-0044,Akurana Central College Safe Zone,CAMP-00026,Akurana Relief Camp 026,7.223829,80.689338,368,123,17,126,836,47,25,14.9,680,Limited,Kandy GN Division Collection Hub,High,High,High,Medium,High,No,None
PF-RD-00027,Eastern,Ampara,Akkaraipattu,SZ-0038,Akkaraipattu Primary School Safe Zone,CAMP-00027,Akkaraipattu Relief Camp 027,7.403621,81.69938,158,20,18,36,2061,25,36,22.9,306,Limited,Ampara GN Division Collection Hub,Medium,High,Low,Low,Medium,No,None
PF-RD-00028,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00028,Kaduwela Relief Camp 028,6.881455,79.866063,999,253,134,886,11119,205,301,11.1,1266,Limited,Colombo Army Relief Point,Medium,Low,Medium,Medium,High,No,None
PF-RD-00029,Eastern,Batticaloa,Kattankudy,SZ-0035,Kattankudy Community Hall Safe Zone,CAMP-00029,Kattankudy Relief Camp 029,7.686873,81.751232,1144,65,172,606,9191,64,156,8.4,1066,Good,Batticaloa Pradeshiya Sabha Stores,Medium,Medium,Medium,High,High,No,None
PF-RD-00030,Eastern,Trincomalee,Kinniya,SZ-0039,Kinniya Divisional Secretariat Hall Safe Zone,CAMP-00030,Kinniya Relief Camp 030,8.625325,81.277152,618,177,52,398,4993,146,316,13.9,1070,Good,Trincomalee GN Division Collection Hub,Medium,Medium,Medium,Medium,Medium,No,None
PF-RD-00031,Southern,Matara,Deniyaya,SZ-0018,Deniyaya Cooperative Hall Safe Zone,CAMP-00031,Deniyaya Relief Camp 031,5.903267,80.572746,156,37,22,92,891,14,27,13.9,278,Good,Matara Army Relief Point,Medium,Medium,High,Medium,Medium,No,None
PF-RD-00032,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00032,Kurunegala Relief Camp 032,7.499151,80.314952,336,98,57,268,3567,35,39,1.6,560,Limited,Kurunegala Army Relief Point,Medium,Medium,Medium,High,High,No,None
PF-RD-00033,North Western,Puttalam,Anamaduwa,SZ-0059,Anamaduwa Cooperative Hall Safe Zone,CAMP-00033,Anamaduwa Relief Camp 033,7.978623,79.864989,68,15,8,60,1018,6,36,2.5,88,Good,Puttalam GN Division Collection Hub,Low,Low,Low,Medium,Low,No,None
PF-RD-00034,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00034,Akkaraipattu Relief Camp 034,7.312142,81.655348,953,183,219,476,4052,152,302,6.2,1736,Good,Ampara District Secretariat Stores,Medium,Medium,High,Medium,High,No,None
PF-RD-00035,Western,Kalutara,Beruwala,SZ-0011,Beruwala Maha Vidyalaya Safe Zone,CAMP-00035,Beruwala Relief Camp 035,6.647572,79.924273,233,66,14,175,2377,23,54,9.5,207,Good,Kalutara DMC Coordination Centre,Medium,Medium,Medium,Medium,Medium,No,None
PF-RD-00036,Central,Kandy,Teldeniya,SZ-0043,Teldeniya Maha Vidyalaya Safe Zone,CAMP-00036,Teldeniya Relief Camp 036,7.283905,80.63158,636,161,85,737,8632,134,164,12.5,923,Good,Kandy Pradeshiya Sabha Stores,Low,Low,Low,Medium,Medium,No,None
PF-RD-00037,Northern,Kilinochchi,Pachchilaipalli,SZ-0025,Pachchilaipalli Cooperative Hall Safe Zone,CAMP-00037,Pachchilaipalli Relief Camp 037,9.383449,80.366556,1182,273,136,383,22144,96,552,9.7,2066,Good,Kilinochchi District Secretariat Stores,Medium,High,Low,High,High,No,None
PF-RD-00038,Eastern,Batticaloa,Batticaloa,SZ-0033,Batticaloa Maha Vidyalaya Safe Zone,CAMP-00038,Batticaloa Relief Camp 038,7.705355,81.664249,342,80,54,158,3460,56,162,15.1,378,Good,Batticaloa DMC Coordination Centre,Medium,Medium,Medium,Medium,Low,No,None
PF-RD-00039,Northern,Mannar,Musali,SZ-0026,Musali Primary School Safe Zone,CAMP-00039,Musali Relief Camp 039,9.02098,79.838275,226,37,22,163,2537,52,90,10.7,461,Good,Mannar District Relief Warehouse,Low,Medium,Medium,Low,Low,No,None
PF-RD-00040,Eastern,Ampara,Pottuvil,SZ-0036,Pottuvil Sports Complex Safe Zone,CAMP-00040,Pottuvil Relief Camp 040,7.299746,81.685807,189,43,22,66,3170,28,86,7.7,341,Good,Ampara DMC Coordination Centre,Low,High,Low,Medium,Low,No,None
PF-RD-00041,Uva,Badulla,Badulla,SZ-0067,Badulla Training Centre Safe Zone,CAMP-00041,Badulla Relief Camp 041,6.995397,81.06192,70,22,12,91,536,9,19,18.7,142,Good,Badulla GN Division Collection Hub,Medium,Low,Medium,High,Medium,No,None
PF-RD-00042,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00042,Elpitiya Relief Camp 042,6.065961,80.149223,700,148,51,424,10169,52,163,13.6,1309,Limited,Galle Pradeshiya Sabha Stores,Medium,Medium,Low,High,High,No,None
PF-RD-00043,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00043,Akkaraipattu Relief Camp 043,7.31852,81.639885,225,37,13,67,778,43,42,4.6,344,Good,Ampara District Secretariat Stores,Medium,High,High,Low,Medium,No,None
PF-RD-00044,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00044,Kantale Relief Camp 044,8.649508,81.185258,694,218,97,482,7234,76,262,20.3,930,Good,Trincomalee DMC Coordination Centre,Medium,Medium,Medium,High,Medium,No,None
PF-RD-00045,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00045,Elpitiya Relief Camp 045,6.073515,80.148269,463,124,68,319,6492,51,110,13.3,664,Limited,Galle Pradeshiya Sabha Stores,Medium,Medium,Low,Medium,Medium,No,None
PF-RD-00046,North Western,Kurunegala,Kurunegala,SZ-0055,Kurunegala Cooperative Hall Safe Zone,CAMP-00046,Kurunegala Relief Camp 046,7.483629,80.37137,257,61,19,150,1782,17,18,6.0,404,Good,Kurunegala DMC Coordination Centre,Medium,Medium,Medium,High,High,No,None
PF-RD-00047,Eastern,Ampara,Akkaraipattu,SZ-0037,Akkaraipattu Maha Vidyalaya Safe Zone,CAMP-00047,Akkaraipattu Relief Camp 047,7.321453,81.648292,1199,349,246,606,14509,91,394,17.7,2031,Limited,Ampara District Secretariat Stores,Medium,Medium,Medium,High,High,No,None
PF-RD-00048,Western,Kalutara,Beruwala,SZ-0012,Beruwala Maha Vidyalaya Safe Zone,CAMP-00048,Beruwala Relief Camp 048,6.647864,80.036204,562,93,17,409,8369,78,187,14.2,597,Good,Kalutara GN Division Collection Hub,Low,Medium,Low,Low,Medium,No,None
PF-RD-00049,Eastern,Batticaloa,Batticaloa,SZ-0032,Batticaloa Training Centre Safe Zone,CAMP-00049,Batticaloa Relief Camp 049,7.663744,81.728255,117,36,16,45,1290,29,14,6.1,253,Good,Batticaloa District Relief Warehouse,Medium,High,Medium,High,High,No,None
PF-RD-00050,Southern,Matara,Deniyaya,SZ-0018,Deniyaya Cooperative Hall Safe Zone,CAMP-00050,Deniyaya Relief Camp 050,5.882277,80.567203,99,24,5,72,816,5,21,12.6,176,Limited,Matara Army Relief Point,Medium,Medium,Medium,High,Medium,No,None
PF-RD-00051,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00051,Kantale Relief Camp 051,8.636927,81.178368,244,58,29,246,844,36,70,16.7,217,Limited,Trincomalee DMC Coordination Centre,Medium,Low,High,Medium,Medium,No,None
PF-RD-00052,Northern,Jaffna,Karainagar,SZ-0022,Karainagar Primary School Safe Zone,CAMP-00052,Karainagar Relief Camp 052,9.701605,80.006824,259,88,8,61,1341,66,44,12.2,458,Good,Jaffna District Relief Warehouse,High,High,High,Medium,High,No,None
PF-RD-00053,Southern,Matara,Deniyaya,SZ-0018,Deniyaya Cooperative Hall Safe Zone,CAMP-00053,Deniyaya Relief Camp 053,5.872715,80.569951,338,66,29,399,2571,61,95,3.2,443,Good,Matara Army Relief Point,Low,Low,Medium,Low,Medium,No,None
PF-RD-00054,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00054,Wellawaya Relief Camp 054,6.865165,81.292162,272,33,58,211,3391,53,79,7.0,399,Limited,Moneragala Pradeshiya Sabha Stores,Medium,Medium,Medium,Medium,Medium,No,None
PF-RD-00055,Western,Kalutara,Beruwala,SZ-0011,Beruwala Maha Vidyalaya Safe Zone,CAMP-00055,Beruwala Relief Camp 055,6.669889,79.902824,91,25,9,107,1480,13,18,4.1,84,Good,Kalutara DMC Coordination Centre,Low,Low,Low,Medium,Medium,No,None
PF-RD-00056,Western,Gampaha,Wattala,SZ-0007,Wattala Central College Safe Zone,CAMP-00056,Wattala Relief Camp 056,7.105122,79.942476,177,42,33,137,1701,10,23,9.7,308,Good,Gampaha GN Division Collection Hub,Medium,Medium,Medium,High,High,No,None
PF-RD-00057,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00057,Kurunegala Relief Camp 057,7.489913,80.316219,718,104,45,221,8750,157,70,11.2,1335,Good,Kurunegala Army Relief Point,Medium,High,Medium,Low,High,No,None
PF-RD-00058,Sabaragamuwa,Ratnapura,Ratnapura,SZ-0061,Ratnapura Sports Complex Safe Zone,CAMP-00058,Ratnapura Relief Camp 058,6.622146,80.357393,608,83,80,613,6144,77,242,5.4,1046,Good,Ratnapura Army Relief Point,Low,Low,Medium,Medium,Medium,No,None
PF-RD-00059,Northern,Jaffna,Chavakachcheri,SZ-0021,Chavakachcheri Sports Complex Safe Zone,CAMP-00059,Chavakachcheri Relief Camp 059,9.578141,79.981082,580,73,109,609,5708,18,254,11.6,1228,Good,Jaffna DMC Coordination Centre,Medium,Low,Medium,High,Medium,No,None
PF-RD-00060,Sabaragamuwa,Ratnapura,Ratnapura,SZ-0062,Ratnapura Sports Complex Safe Zone,CAMP-00060,Ratnapura Relief Camp 060,6.703151,80.365672,572,135,85,540,7334,110,105,2.7,492,Good,Ratnapura Army Relief Point,Low,Low,Low,Medium,Medium,No,None
PF-RD-00061,North Western,Kurunegala,Kurunegala,SZ-0057,Kurunegala Training Centre Safe Zone,CAMP-00061,Kurunegala Relief Camp 061,7.496029,80.294645,101,19,17,20,908,4,28,1.5,187,Good,Kurunegala Army Relief Point,Medium,High,Medium,High,Medium,No,None
PF-RD-00062,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00062,Elpitiya Relief Camp 062,6.093078,80.130617,44,12,6,10,61,4,4,22.0,58,Blocked,Galle Pradeshiya Sabha Stores,High,High,High,Medium,High,No,None
PF-RD-00063,Eastern,Batticaloa,Batticaloa,SZ-0032,Batticaloa Training Centre Safe Zone,CAMP-00063,Batticaloa Relief Camp 063,7.660995,81.73017,157,41,24,53,382,24,60,9.6,262,Limited,Batticaloa District Relief Warehouse,Medium,High,High,Medium,Low,No,None
PF-RD-00064,Western,Gampaha,Wattala,SZ-0006,Wattala Divisional Secretariat Hall Safe Zone,CAMP-00064,Wattala Relief Camp 064,7.054936,80.016258,303,59,11,306,1685,37,32,5.4,408,Good,Gampaha DMC Coordination Centre,Medium,Low,High,Medium,High,No,None
PF-RD-00065,Western,Kalutara,Horana,SZ-0010,Horana Sports Complex Safe Zone,CAMP-00065,Horana Relief Camp 065,6.502404,80.016643,600,40,19,388,4697,30,105,20.4,852,Blocked,Kalutara GN Division Collection Hub,Medium,Medium,Medium,High,Medium,No,None
PF-RD-00066,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00066,Wellawaya Relief Camp 066,6.862593,81.270922,251,35,32,163,1310,23,49,1.0,441,Good,Moneragala Pradeshiya Sabha Stores,Medium,Medium,High,Medium,Medium,No,None
PF-RD-00067,Eastern,Batticaloa,Batticaloa,SZ-0033,Batticaloa Maha Vidyalaya Safe Zone,CAMP-00067,Batticaloa Relief Camp 067,7.709332,81.682729,815,152,63,492,7990,159,168,18.6,1613,Good,Batticaloa DMC Coordination Centre,Medium,Medium,Medium,Low,High,No,None
PF-RD-00068,North Central,Polonnaruwa,Lankapura,SZ-0053,Lankapura Community Hall Safe Zone,CAMP-00068,Lankapura Relief Camp 068,7.917252,80.934861,206,44,6,107,2173,26,33,11.0,430,Limited,Polonnaruwa District Relief Warehouse,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00069,Western,Colombo,Kolonnawa,SZ-0002,Kolonnawa Primary School Safe Zone,CAMP-00069,Kolonnawa Relief Camp 069,6.854712,79.796271,492,183,15,621,5449,50,122,13.1,480,Good,Colombo District Relief Warehouse,Medium,Low,Medium,Medium,Medium,No,None
PF-RD-00070,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00070,Kantale Relief Camp 070,8.633349,81.196436,1064,91,172,497,2301,149,92,2.5,2073,Limited,Trincomalee DMC Coordination Centre,Medium,Medium,High,Low,High,No,None
PF-RD-00071,Central,Nuwara Eliya,Walapane,SZ-0048,Walapane Maha Vidyalaya Safe Zone,CAMP-00071,Walapane Relief Camp 071,6.948305,80.717254,495,88,84,282,8007,98,174,40.0,803,Limited,Nuwara Eliya GN Division Collection Hub,Medium,Medium,Low,Medium,Medium,No,None
PF-RD-00072,Eastern,Trincomalee,Kantale,SZ-0040,Kantale Training Centre Safe Zone,CAMP-00072,Kantale Relief Camp 072,8.635302,81.197628,46,9,5,33,359,5,5,2.0,88,Good,Trincomalee DMC Coordination Centre,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00073,Uva,Moneragala,Wellawaya,SZ-0070,Wellawaya Community Hall Safe Zone,CAMP-00073,Wellawaya Relief Camp 073,6.835833,81.269176,335,73,59,178,767,63,56,6.6,315,Good,Moneragala Pradeshiya Sabha Stores,Medium,Medium,High,Medium,High,No,None
PF-RD-00074,Sabaragamuwa,Kegalle,Ruwanwella,SZ-0064,Ruwanwella Public Ground Safe Zone,CAMP-00074,Ruwanwella Relief Camp 074,7.218667,80.369396,196,65,34,71,471,46,52,3.9,406,Limited,Kegalle DMC Coordination Centre,High,High,High,High,Medium,No,None
PF-RD-00075,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00075,Kaduwela Relief Camp 075,6.874196,79.868652,475,143,78,377,7865,129,78,23.4,861,Good,Colombo Army Relief Point,Medium,Medium,Low,High,High,No,None
PF-RD-00076,Western,Kalutara,Beruwala,SZ-0011,Beruwala Maha Vidyalaya Safe Zone,CAMP-00076,Beruwala Relief Camp 076,6.655307,79.931209,727,97,29,594,6944,90,255,13.6,763,Limited,Kalutara DMC Coordination Centre,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00077,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00077,Kaduwela Relief Camp 077,6.85799,79.860457,838,130,25,343,5084,87,215,10.8,1448,Good,Colombo Army Relief Point,Medium,High,High,Medium,High,No,None
PF-RD-00078,Central,Kandy,Peradeniya,SZ-0042,Peradeniya Training Centre Safe Zone,CAMP-00078,Peradeniya Relief Camp 078,7.278171,80.604242,588,167,18,761,9908,118,213,5.6,972,Good,Kandy District Secretariat Stores,Low,Low,Low,Medium,Medium,No,None
PF-RD-00079,Northern,Mannar,Nanaddan,SZ-0027,Nanaddan Sports Complex Safe Zone,CAMP-00079,Nanaddan Relief Camp 079,9.00108,79.883021,697,99,70,468,10968,135,70,14.8,793,Good,Mannar GN Division Collection Hub,Low,Medium,Low,Low,High,No,None
PF-RD-00080,Northern,Jaffna,Chavakachcheri,SZ-0023,Chavakachcheri Maha Vidyalaya Safe Zone,CAMP-00080,Chavakachcheri Relief Camp 080,9.647055,80.118312,359,35,27,429,1334,23,156,13.4,712,Good,Jaffna District Secretariat Stores,Medium,Low,High,High,Medium,No,None
PF-RD-00081,Eastern,Batticaloa,Batticaloa,SZ-0032,Batticaloa Training Centre Safe Zone,CAMP-00081,Batticaloa Relief Camp 081,7.650186,81.733698,6720,114,109,476,8491,164,191,5.6,945,Good,Batticaloa District Relief Warehouse,Medium,Medium,Medium,Medium,Medium,Yes,population_digit_typo
PF-RD-00082,Western,Gampaha,Wattala,SZ-0007,Wattala Central College Safe Zone,CAMP-00082,Wattala Relief Camp 082,7.101001,79.942703,97,28,12,31,1568,25,42,26.9,163,Good,Gampaha GN Division Collection Hub,Medium,High,Low,Medium,Low,No,None
PF-RD-00083,Western,Colombo,Kaduwela,SZ-0004,Kaduwela Divisional Secretariat Hall Safe Zone,CAMP-00083,Kaduwela Relief Camp 083,6.884496,79.874212,706,106,169,192,9353,42,114,6.8,1079,Good,Colombo Army Relief Point,Medium,High,Low,High,High,No,None
PF-RD-00084,Western,Kalutara,Horana,SZ-0010,Horana Sports Complex Safe Zone,CAMP-00084,Horana Relief Camp 084,6.484232,80.060394,268,32,14,99,5065,33,31,15.0,467,Good,Kalutara GN Division Collection Hub,Medium,High,Low,Medium,High,No,None
PF-RD-00085,Western,Gampaha,Wattala,SZ-0008,Wattala Cooperative Hall Safe Zone,CAMP-00085,Wattala Relief Camp 085,7.045919,79.97005,893,269,93,521,8030,110,316,7.5,1279,Good,Gampaha District Relief Warehouse,Medium,Medium,Medium,Medium,High,No,None
PF-RD-00086,Northern,Mannar,Nanaddan,SZ-0027,Nanaddan Sports Complex Safe Zone,CAMP-00086,Nanaddan Relief Camp 086,9.001555,79.884948,1129,176,37,1419,11349,97,543,5.4,2345,Good,Mannar GN Division Collection Hub,Medium,Low,Medium,Medium,High,No,None
PF-RD-00087,Eastern,Ampara,Akkaraipattu,SZ-0038,Akkaraipattu Primary School Safe Zone,CAMP-00087,Akkaraipattu Relief Camp 087,7.398465,81.699584,284,31,18,342,3524,49,111,3.1,478,Good,Ampara GN Division Collection Hub,Low,Low,Medium,Low,Low,No,None
PF-RD-00088,Northern,Kilinochchi,Pachchilaipalli,SZ-0025,Pachchilaipalli Cooperative Hall Safe Zone,CAMP-00088,Pachchilaipalli Relief Camp 088,9.389576,80.371549,330,70,18,253,5168,39,102,9.6,578,Good,Kilinochchi District Secretariat Stores,Low,Medium,Low,Medium,Medium,No,None
PF-RD-00089,Southern,Galle,Elpitiya,SZ-0014,Elpitiya Public Ground Safe Zone,CAMP-00089,Elpitiya Relief Camp 089,6.049612,80.119364,1121,230,34,1301,17785,180,161,4.2,2056,Good,Galle Pradeshiya Sabha Stores,Low,Low,Low,Low,High,No,None
PF-RD-00090,Northern,Vavuniya,Vavuniya South,SZ-0030,Vavuniya South Public Ground Safe Zone,CAMP-00090,Vavuniya South Relief Camp 090,8.800418,80.452995,718,237,37,725,6770,111,90,2.2,821,Good,Vavuniya GN Division Collection Hub,Medium,Low,Medium,Medium,High,No,None
PF-RD-00091,Eastern,Ampara,Akkaraipattu,SZ-0038,Akkaraipattu Primary School Safe Zone,CAMP-00091,Akkaraipattu Relief Camp 091,7.403575,81.720116,448,81,47,287,3347,63,196,7.0,711,Good,Ampara GN Division Collection Hub,Medium,Medium,Medium,Medium,Medium,No,None
PF-RD-00092,Sabaragamuwa,Ratnapura,Ratnapura,SZ-0062,Ratnapura Sports Complex Safe Zone,CAMP-00092,Ratnapura Relief Camp 092,6.710226,80.3505,852,258,73,628,13311,158,350,6.7,1034,Good,Ratnapura Army Relief Point,Medium,Medium,Low,Medium,High,No,None
PF-RD-00093,North Western,Kurunegala,Kuliyapitiya,SZ-0056,Kuliyapitiya Central College Safe Zone,CAMP-00093,Kuliyapitiya Relief Camp 093,7.488872,80.356505,175,21,9,153,385,12,16,37.2,296,Limited,Kurunegala District Relief Warehouse,Medium,Low,High,Medium,High,No,None
